"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITE1","Toscana","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.6,,
"ITG2","Sardegna","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",46,,
"ITG2","Sardegna","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",70,,
"ITF3","Campania","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",24.6,,
"ITF3","Campania","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",22.3,,
"ITE2","Umbria","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",3.5,,
"ITE2","Umbria","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",2.8,,
"ITFG","Mezzogiorno","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",2.2,,
"ITFG","Mezzogiorno","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",2.8,,
"3","metropolitan area - suburbs","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",764,,
"3","metropolitan area - suburbs","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",714,,
"ITE4","Lazio","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",0.7,,
"ITE4","Lazio","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.7,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",48,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",41.2,,
"ITF5","Basilicata","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",1.3,,
"ITF5","Basilicata","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.6,,
"2","metropolitan area - centre","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",4.2,,
"2","metropolitan area - centre","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",3.6,,
"ITFG","Mezzogiorno","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",248,,
"ITFG","Mezzogiorno","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",317,,
"ITF6","Calabria","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",22,,
"ITF6","Calabria","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",18.9,,
"ITF4","Puglia","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",12.8,,
"ITF4","Puglia","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",15.2,,
"ITF1","Abruzzo","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",1,,
"ITF1","Abruzzo","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.4,,
"ITE2","Umbria","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",20,,
"ITE2","Umbria","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",17,,
"ITE4","Lazio","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",3226,,
"ITE4","Lazio","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",3491,,
"2","metropolitan area - centre","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",4.2,,
"2","metropolitan area - centre","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5.6,,
"ITG","Isole","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",12.7,,
"ITG","Isole","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",11.9,,
"ITF4","Puglia","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",30.7,,
"ITF4","Puglia","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",29.8,,
"ITE","Centro (I)","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",2637,,
"ITE","Centro (I)","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",2396,,
"ITF","Sud","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",984,,
"ITF","Sud","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",1018,,
"ITF3","Campania","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",730,,
"ITF3","Campania","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",663,,
"ITF","Sud","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",5.3,,
"ITF","Sud","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",5.8,,
"ITE2","Umbria","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",5.5,,
"ITE2","Umbria","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5.4,,
"ITE4","Lazio","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",7.7,,
"ITE4","Lazio","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",5.3,,
"ITF1","Abruzzo","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",57,,
"ITF1","Abruzzo","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",52,,
"ITE1","Toscana","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",5.3,,
"ITE1","Toscana","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5.9,,
"ITE1","Toscana","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",1024,,
"ITE1","Toscana","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",861,,
"2","metropolitan area - centre","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",2388,,
"2","metropolitan area - centre","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",2282,,
"ITF5","Basilicata","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",97,,
"ITF5","Basilicata","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",95,,
"ITF6","Calabria","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",234,,
"ITF6","Calabria","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",175,,
"ITD3","Veneto","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",7.8,,
"ITD3","Veneto","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",8.2,,
"ITG1","Sicilia","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",569,,
"ITG1","Sicilia","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",574,,
"ITE4","Lazio","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",280,,
"ITE4","Lazio","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",204,,
"ITD5","Emilia-Romagna","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",32,,
"ITD5","Emilia-Romagna","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",37,,
"ITG","Isole","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",462,,
"ITG","Isole","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",437,,
"ITFG","Mezzogiorno","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.3,,
"ITFG","Mezzogiorno","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.2,,
"3","metropolitan area - suburbs","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",1490,,
"3","metropolitan area - suburbs","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",1402,,
"ITE2","Umbria","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",171,,
"ITE2","Umbria","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",171,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",16,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",25,,
"ITE3","Marche","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",32,,
"ITE3","Marche","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",30,,
"ITF5","Basilicata","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",31.3,,
"ITF5","Basilicata","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",28.9,,
"ITE","Centro (I)","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",34.2,,
"ITE","Centro (I)","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",30,,
"ITF2","Molise","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",14.1,,
"ITF2","Molise","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",10.8,,
"ITFG","Mezzogiorno","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",145,,
"ITFG","Mezzogiorno","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",138,,
"2","metropolitan area - centre","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",38.4,,
"2","metropolitan area - centre","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",36.9,,
"ITF3","Campania","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.2,,
"ITF3","Campania","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.2,,
"ITG2","Sardegna","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",2.9,,
"ITG2","Sardegna","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",3.4,,
"ITG","Isole","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",26.8,,
"ITG","Isole","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",25.8,,
"ITF4","Puglia","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",29.6,,
"ITF4","Puglia","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",25.8,,
"ITE3","Marche","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",3.2,,
"ITE3","Marche","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",3,,
"ITE","Centro (I)","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",938,,
"ITE","Centro (I)","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",1004,,
"ITF5","Basilicata","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",16,,
"ITF5","Basilicata","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",14,,
"ITF2","Molise","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",26.7,,
"ITF2","Molise","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",23.9,,
"ITF","Sud","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",408,,
"ITF","Sud","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",442,,
"ITF1","Abruzzo","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",7,,
"ITF1","Abruzzo","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",6,,
"ITF4","Puglia","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",712,,
"ITF4","Puglia","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",694,,
"ITF1","Abruzzo","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",132,,
"ITF1","Abruzzo","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",108,,
"ITG2","Sardegna","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",11,,
"ITG2","Sardegna","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",13,,
"ITF","Sud","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",90.9,,
"ITF","Sud","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",90.1,,
"ITD5","Emilia-Romagna","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",1250,,
"ITD5","Emilia-Romagna","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",1175,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",23.6,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",26.8,,
"ITG1","Sicilia","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",330,,
"ITG1","Sicilia","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",316,,
"ITE4","Lazio","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",511,,
"ITE4","Lazio","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",505,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",338,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",304,,
"ITG","Isole","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",976,,
"ITG","Isole","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",950,,
"ITF2","Molise","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",48,,
"ITF2","Molise","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",45,,
"ITF5","Basilicata","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",26.5,,
"ITF5","Basilicata","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",22,,
"ITE3","Marche","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",15,,
"ITE3","Marche","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",10,,
"ITG1","Sicilia","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",12.7,,
"ITG1","Sicilia","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",11.9,,
"ITF6","Calabria","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.1,,
"ITF6","Calabria","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.3,,
"ITF3","Campania","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",15.2,,
"ITF3","Campania","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",15.7,,
"ITE1","Toscana","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",40.4,,
"ITE1","Toscana","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",33.7,,
"ITD5","Emilia-Romagna","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",43,,
"ITD5","Emilia-Romagna","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",33,,
"ITE1","Toscana","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",590,,
"ITE1","Toscana","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",680,,
"ITF6","Calabria","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",92.3,,
"ITF6","Calabria","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",88.3,,
"ITE2","Umbria","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",130,,
"ITE2","Umbria","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",163,,
"ITF5","Basilicata","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",17.3,,
"ITF5","Basilicata","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",13.7,,
"ITF3","Campania","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",22,,
"ITF3","Campania","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",20,,
"ITF4","Puglia","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",154,,
"ITF4","Puglia","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",155,,
"ITFG","Mezzogiorno","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",12.7,,
"ITFG","Mezzogiorno","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",12.5,,
"ITE2","Umbria","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",90.9,,
"ITE2","Umbria","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",92.2,,
"ITE1","Toscana","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",89.2,,
"ITE1","Toscana","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",91.7,,
"6","until 2,000 inhab.","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",8.2,,
"6","until 2,000 inhab.","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",6.8,,
"ITG","Isole","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",3.4,,
"ITG","Isole","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5.6,,
"ITF1","Abruzzo","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",8,,
"ITF1","Abruzzo","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",4,,
"ITE4","Lazio","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",435,,
"ITE4","Lazio","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",493,,
"ITF3","Campania","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",32.1,,
"ITF3","Campania","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",31.9,,
"ITE3","Marche","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",110,,
"ITE3","Marche","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",100,,
"ITD5","Emilia-Romagna","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",23.4,,
"ITD5","Emilia-Romagna","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",25.7,,
"ITE3","Marche","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",6,,
"ITE3","Marche","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",6.1,,
"ITE4","Lazio","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",25.4,,
"ITE4","Lazio","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",26.2,,
"ITG","Isole","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",125,,
"ITG","Isole","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",205,,
"ITF2","Molise","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",22,,
"ITF2","Molise","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",25,,
"ITF","Sud","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",14.5,,
"ITF","Sud","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",14.8,,
"ITF1","Abruzzo","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",27.1,,
"ITF1","Abruzzo","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",27.1,,
"ITE1","Toscana","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",134,,
"ITE1","Toscana","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",151,,
"ITF","Sud","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",31.3,,
"ITF","Sud","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",30.5,,
"ITE2","Umbria","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",520,,
"ITE2","Umbria","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",566,,
"ITF4","Puglia","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",1.1,,
"ITF4","Puglia","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",1.2,,
"ITF5","Basilicata","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",21.9,,
"ITF5","Basilicata","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",17.5,,
"ITF2","Molise","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",161,,
"ITF2","Molise","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",168,,
"ITF6","Calabria","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",26,,
"ITF6","Calabria","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",21,,
"ITF2","Molise","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",1.1,,
"ITF2","Molise","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.1,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",0.6,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.6,,
"ITF5","Basilicata","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",54,,
"ITF5","Basilicata","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",45,,
"ITE1","Toscana","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",23.3,,
"ITE1","Toscana","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",26.6,,
"ITG2","Sardegna","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",11.4,,
"ITG2","Sardegna","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",9.1,,
"ITE","Centro (I)","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",2572,,
"ITE","Centro (I)","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",2383,,
"2","metropolitan area - centre","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",752,,
"2","metropolitan area - centre","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",901,,
"ITG","Isole","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",21.1,,
"ITG","Isole","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",21.6,,
"ITG1","Sicilia","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",21,,
"ITG1","Sicilia","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",21.6,,
"ITF","Sud","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",71,,
"ITF","Sud","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",55,,
"ITG","Isole","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",40,,
"ITG","Isole","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",42,,
"ITF2","Molise","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",2,,
"ITF2","Molise","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",,"0","less than half of the unit used"
"ITE3","Marche","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",11.1,,
"ITE3","Marche","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",10.3,,
"ITF1","Abruzzo","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",16.2,,
"ITF1","Abruzzo","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",13.9,,
"ITD5","Emilia-Romagna","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",12.2,,
"ITD5","Emilia-Romagna","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",11,,
"ITE","Centro (I)","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",33.3,,
"ITE","Centro (I)","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",29.8,,
"ITG1","Sicilia","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",78,,
"ITG1","Sicilia","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",135,,
"2","metropolitan area - centre","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",12.1,,
"2","metropolitan area - centre","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",14.6,,
"ITF4","Puglia","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",2113,,
"ITF4","Puglia","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",2102,,
"ITE4","Lazio","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",12,,
"ITE4","Lazio","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",12.8,,
"ITFG","Mezzogiorno","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",10297,,
"ITFG","Mezzogiorno","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",10187,,
"ITG2","Sardegna","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",118,,
"ITG2","Sardegna","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",95,,
"ITD5","Emilia-Romagna","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",1104,,
"ITD5","Emilia-Romagna","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",889,,
"ITF6","Calabria","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",3,,
"ITF6","Calabria","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",3.1,,
"ITF","Sud","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",26.3,,
"ITF","Sud","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",23.2,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",26.4,,
